,Year,StateCode,MSN,Data,Unit
0,2025,AZ,WYEGB,33.24611952941177,Billion Btu
1,2050,AZ,WYEGB,50.208425411764665,Billion Btu
2,2025,AZ,NUEGB,472573.51754654944,Billion Btu
3,2050,AZ,NUEGB,686576.8812107146,Billion Btu
4,2025,AZ,SOEGB,73.62086254309725,Billion Btu
5,2050,AZ,SOEGB,110.53230769315724,Billion Btu
6,2025,AZ,HYEGB,107878.2256343991,Billion Btu
7,2050,AZ,HYEGB,126652.10638094158,Billion Btu
8,2025,CA,WYEGB,64042.66196449939,Billion Btu
9,2050,CA,WYEGB,93905.8087923387,Billion Btu
10,2025,CA,NUEGB,584283.2159822211,Billion Btu
11,2050,CA,NUEGB,828888.7705091462,Billion Btu
12,2025,CA,SOEGB,8533.295362662175,Billion Btu
13,2050,CA,SOEGB,12469.390696527727,Billion Btu
14,2025,CA,HYEGB,396039.68331357045,Billion Btu
15,2050,CA,HYEGB,428247.9246663917,Billion Btu
16,2025,NM,WYEGB,7772.633388029295,Billion Btu
17,2050,NM,WYEGB,11675.860473479435,Billion Btu
18,2025,NM,NUEGB,0.0,Billion Btu
19,2050,NM,NUEGB,0.0,Billion Btu
20,2025,NM,SOEGB,0.0,Billion Btu
21,2050,NM,SOEGB,0.0,Billion Btu
22,2025,NM,HYEGB,3585.2022394372034,Billion Btu
23,2050,NM,HYEGB,4923.449933410797,Billion Btu
24,2025,TX,WYEGB,70670.04852286447,Billion Btu
25,2050,TX,WYEGB,106136.34009623807,Billion Btu
26,2025,TX,NUEGB,589664.3269640803,Billion Btu
27,2050,TX,NUEGB,864801.0467679575,Billion Btu
28,2025,TX,SOEGB,1.738692897478991,Billion Btu
29,2050,TX,SOEGB,2.406393821848738,Billion Btu
30,2025,TX,HYEGB,16226.462241217261,Billion Btu
31,2050,TX,HYEGB,18270.449883450172,Billion Btu
